market,Total_Startups,Closed,Avg_Funding_USD,Avg_Rounds,Failure_Rate_%
Fantasy Sports,15,2.0,14372251.384615384,2.1333333333333333,13.33
Distribution,15,1.0,16311461.42857143,1.6666666666666667,6.67
Semantic Web,15,1.0,8749251.0,1.8666666666666667,6.67
Creative,15,0.0,6199451.818181818,1.7333333333333334,0.0
Gps,15,0.0,4101085.5714285714,2.2,0.0
Jewelry,15,0.0,22570891.818181816,1.3333333333333333,0.0
Mobile Devices,15,0.0,6936317.0,1.6,0.0
Social Recruiting,15,0.0,6967657.153846154,1.1333333333333333,0.0
Classifieds,14,3.0,14913100.083333334,1.9285714285714286,21.43
Web CMS,14,2.0,39334958.8,1.8571428571428572,14.29
Charity,14,1.0,925463.25,1.8571428571428572,7.14
Data Mining,14,1.0,9426787.454545455,2.142857142857143,7.14
Shoes,14,1.0,34660333.615384616,2.0,7.14
Social Buying,14,1.0,8618773.76923077,1.8571428571428572,7.14
Tablets,14,1.0,11631923.076923076,1.6428571428571428,7.14
Broadcasting,14,0.0,47904273.15384615,2.0714285714285716,0.0
Commercial Real Estate,14,0.0,14050386.416666666,1.6428571428571428,0.0
Information Security,14,0.0,13836135.75,1.4285714285714286,0.0
Point of Sale,14,0.0,31139262.09090909,1.7857142857142858,0.0
Printing,14,0.0,25027138.8,1.7142857142857142,0.0
Translation,14,0.0,7260005.166666667,1.4285714285714286,0.0
Gambling,13,3.0,2695882.4545454546,1.6923076923076923,23.08
Social Bookmarking,13,3.0,1621666.6666666667,1.5384615384615385,23.08
Advice,13,2.0,7471985.6,1.5384615384615385,15.38
Reputation,13,2.0,4531246.1,1.3076923076923077,15.38
Credit,13,1.0,80128238.46153846,3.076923076923077,7.69
Flash Sales,13,1.0,6756914.5,1.9230769230769231,7.69
Flash Storage,13,1.0,19268145.833333332,2.3846153846153846,7.69
Image Recognition,13,1.0,3486941.375,1.9230769230769231,7.69
Sustainability,13,1.0,15473810.0,2.076923076923077,7.69
Task Management,13,1.0,7486082.909090909,1.6923076923076923,7.69
Ad Targeting,13,0.0,13794581.384615384,1.7692307692307692,0.0
Cyber Security,13,0.0,10801669.9,2.230769230769231,0.0
Displays,13,0.0,19069166.666666668,2.3076923076923075,0.0
Educational Games,13,0.0,482472.54545454547,1.1538461538461537,0.0
Mobile Health,13,0.0,1574610.0,1.8461538461538463,0.0
Navigation,13,0.0,16592904.666666666,1.5384615384615385,0.0
Online Video Advertising,13,0.0,11086438.333333334,2.076923076923077,0.0
Organic Food,13,0.0,5773199.777777778,2.076923076923077,0.0
Professional Services,13,0.0,45926985.63636363,1.3846153846153846,0.0
Recycling,13,0.0,4982372.083333333,1.4615384615384615,0.0
Social Media Monitoring,13,0.0,5231706.916666667,2.1538461538461537,0.0
Testing,13,0.0,34763096.45454545,2.8461538461538463,0.0
Browser Extensions,12,2.0,20149108.09090909,2.1666666666666665,16.67
Group Buying,12,2.0,20084722.222222224,1.6666666666666667,16.67
Concerts,12,1.0,6485000.0,2.3333333333333335,8.33
Contact Management,12,1.0,6074359.5,1.5833333333333333,8.33
Shipping,12,1.0,3027655.6666666665,1.25,8.33
Augmented Reality,12,0.0,892084.9090909091,1.5833333333333333,0.0
Billing,12,0.0,15530795.5,1.8333333333333333,0.0
Business Analytics,12,0.0,11804909.0,1.4166666666666667,0.0
Content Discovery,12,0.0,6281142.090909091,2.0,0.0
Cosmetics,12,0.0,2642000.0,1.0833333333333333,0.0
IT Management,12,0.0,24594027.8,2.1666666666666665,0.0
Identity,12,0.0,13133488.666666666,2.0833333333333335,0.0
Local Based Services,12,0.0,2712199.3636363638,1.6666666666666667,0.0
Social Travel,12,0.0,2250020.6666666665,1.4166666666666667,0.0
Video on Demand,12,0.0,11365086.5,1.8333333333333333,0.0
Women,12,0.0,9435886.875,1.6666666666666667,0.0
Promotional,11,2.0,1128882.2222222222,1.9090909090909092,18.18
Stock Exchanges,11,2.0,1081309.8,1.2727272727272727,18.18
Ediscovery,11,1.0,7618096.181818182,2.090909090909091,9.09
Journalism,11,1.0,5736644.375,1.3636363636363635,9.09
NFC,11,1.0,5996149.0,2.1818181818181817,9.09
Craft Beer,11,0.0,222884.5,1.0,0.0
Customer Support Tools,11,0.0,12070030.625,2.090909090909091,0.0
Diabetes,11,0.0,39561790.3,1.4545454545454546,0.0
Energy Management,11,0.0,10596750.333333334,2.4545454545454546,0.0
IT and Cybersecurity,11,0.0,7437225.714285715,2.0,0.0
Identity Management,11,0.0,36882875.125,3.0,0.0
Mass Customization,11,0.0,1745075.125,1.6363636363636365,0.0
Oil and Gas,11,0.0,235522543.25,1.1818181818181819,0.0
P2P Money Transfer,11,0.0,73927650.1111111,2.090909090909091,0.0
Vacation Rentals,11,0.0,9616923.2,1.2727272727272727,0.0
Babies,10,1.0,5279856.333333333,2.0,10.0
Clinical Trials,10,1.0,59275326.44444445,1.6,10.0
Electronic Health Records,10,1.0,11694450.555555556,2.5,10.0
Law Enforcement,10,1.0,3529491.888888889,1.6,10.0
Portals,10,1.0,2327396.777777778,1.5,10.0
Property Management,10,1.0,2541965.3333333335,1.5,10.0
Social Media Advertising,10,1.0,1880126.1,1.9,10.0
Chemicals,10,0.0,90669430.0,2.8,0.0
Cloud Security,10,0.0,29306871.666666668,2.9,0.0
Content Delivery,10,0.0,20672082.5,1.1,0.0
Cooking,10,0.0,11114207.875,2.1,0.0
Corporate Training,10,0.0,9913784.666666666,1.3,0.0
Dental,10,0.0,29011839.42857143,1.5,0.0
Home Decor,10,0.0,31274972.5,1.8,0.0
IaaS,10,0.0,11426473.666666666,2.9,0.0
Incubators,10,0.0,1562449.0,1.3,0.0
Monetization,10,0.0,16979375.222222224,2.8,0.0
Music Services,10,0.0,3365064.0,1.5,0.0
Oil,10,0.0,69911022.625,1.3,0.0
Polling,10,0.0,3120096.75,1.7,0.0
Product Design,10,0.0,4682260.75,1.5,0.0
Search Marketing,10,0.0,11007308.666666666,1.5,0.0
Social Media Management,10,0.0,2148077.888888889,1.5,0.0
Supply Chain Management,10,0.0,19247178.444444444,2.2,0.0
Video Conferencing,10,0.0,1825406.25,1.2,0.0
Wholesale,10,0.0,971873.8571428572,1.1,0.0
Credit Cards,9,2.0,33099285.714285713,2.4444444444444446,22.22
Forums,9,1.0,5456055.555555556,1.6666666666666667,11.11
Leisure,9,1.0,3692356.875,1.4444444444444444,11.11
MMO Games,9,1.0,5643512.777777778,1.5555555555555556,11.11
Match-Making,9,1.0,7943984.166666667,1.7777777777777777,11.11
Social CRM,9,1.0,19819600.0,2.0,11.11
Universities,9,1.0,351310.6666666667,1.1111111111111112,11.11
Visualization,9,1.0,3988017.2,2.6666666666666665,11.11
3D Printing,9,0.0,4056750.0,1.7777777777777777,0.0
Batteries,9,0.0,72469034.77777778,3.7777777777777777,0.0
Business Productivity,9,0.0,2545555.5555555555,1.8888888888888888,0.0
Computer Vision,9,0.0,6109407.375,2.111111111111111,0.0
Content Creators,9,0.0,136467500.0,2.111111111111111,0.0
Digital Signage,9,0.0,12106798.625,1.7777777777777777,0.0
Entertainment Industry,9,0.0,1364375.875,1.1111111111111112,0.0
Guides,9,0.0,6376316.111111111,1.8888888888888888,0.0
High Schools,9,0.0,2947803.714285714,1.4444444444444444,0.0
Infrastructure,9,0.0,25543872.0,1.4444444444444444,0.0
Linux,9,0.0,9683088.888888888,2.3333333333333335,0.0
Meeting Software,9,0.0,3542504.111111111,1.4444444444444444,0.0
Non Profit,9,0.0,7855285.714285715,1.5555555555555556,0.0
Presentations,9,0.0,10172420.444444444,1.7777777777777777,0.0
QR Codes,9,0.0,958656.5,1.6666666666666667,0.0
Social + Mobile + Local,9,0.0,3529357.8333333335,1.2222222222222223,0.0
Unifed Communications,9,0.0,14825753.125,2.4444444444444446,0.0
MicroBlogging,8,2.0,10582704.0,1.625,25.0
Tech Field Support,8,2.0,12663500.0,2.125,25.0
Architecture,8,1.0,9894422.42857143,2.25,12.5
Career Planning,8,1.0,2808267.5,1.5,12.5
Mobile Social,8,1.0,7992016.428571428,1.625,12.5
Video Chat,8,1.0,522857.14285714284,1.25,12.5
Visual Search,8,1.0,9597978.285714285,2.125,12.5
Web Browsers,8,1.0,5118708.833333333,2.0,12.5
3D Technology,8,0.0,3440892.0,1.75,0.0
App Stores,8,0.0,3473857.1428571427,1.5,0.0
Comparison Shopping,8,0.0,1310433.4285714286,1.75,0.0
Defense,8,0.0,1427500.0,1.25,0.0
Digital Entertainment,8,0.0,4860000.0,1.125,0.0
Governments,8,0.0,3092857.1428571427,1.125,0.0
Green,8,0.0,2839710.0,2.375,0.0
Lighting,8,0.0,23153571.42857143,2.125,0.0
M2M,8,0.0,7575402.857142857,2.375,0.0
Nutrition,8,0.0,122285.16666666667,1.125,0.0
Performance Marketing,8,0.0,4578618.857142857,2.0,0.0
Social Media Platforms,8,0.0,3833170.625,1.875,0.0
Staffing Firms,8,0.0,329236.2,1.0,0.0
Systems,8,0.0,4851357.142857143,1.75,0.0
Textbooks,8,0.0,1207616.375,1.25,0.0
mHealth,8,0.0,817064.3333333334,1.75,0.0
Toys,7,2.0,8717131.166666666,3.0,28.57
Virtual Currency,7,2.0,882042.7142857143,1.1428571428571428,28.57
All Markets,7,1.0,11128829.57142857,2.4285714285714284,14.29
E-Books,7,1.0,3621226.8571428573,1.4285714285714286,14.29
Freemium,7,1.0,5569100.0,1.5714285714285714,14.29
Internet TV,7,1.0,5827741.666666667,1.2857142857142858,14.29
Nightlife,7,1.0,164944.66666666666,1.2857142857142858,14.29
Professional Networking,7,1.0,985837.6666666666,1.4285714285714286,14.29
Smart Grid,7,1.0,44026350.71428572,2.142857142857143,14.29
Doctors,7,0.0,22369527.666666668,2.142857142857143,0.0
Domains,7,0.0,17176680.166666668,1.4285714285714286,0.0
Drones,7,0.0,8662509.5,1.8571428571428572,0.0
Enterprise Search,7,0.0,6843345.0,2.2857142857142856,0.0
Exercise,7,0.0,2550000.0,1.1428571428571428,0.0
Licensing,7,0.0,3365980.8333333335,2.2857142857142856,0.0
Medical Professionals,7,0.0,38540670.2,1.4285714285714286,0.0
Mobile Shopping,7,0.0,4560999.8,1.2857142857142858,0.0
Natural Language Processing,7,0.0,902510.4285714285,1.2857142857142858,0.0
Natural Resources,7,0.0,37401500.0,1.4285714285714286,0.0
Physicians,7,0.0,118262076.6,2.7142857142857144,0.0
Psychology,7,0.0,788782.2,1.4285714285714286,0.0
Rental Housing,7,0.0,4392714.166666667,1.2857142857142858,0.0
Social Business,7,0.0,4573343.142857143,2.0,0.0
Social Fundraising,7,0.0,4447600.0,1.5714285714285714,0.0
Teachers,7,0.0,877500.0,1.8571428571428572,0.0
University Students,7,0.0,1116300.0,1.0,0.0
Water,7,0.0,1912316.5,1.4285714285714286,0.0
Water Purification,7,0.0,23297739.714285713,1.7142857142857142,0.0
Celebrity,6,2.0,3161190.6,1.3333333333333333,33.33
